Source,Target,weight,weight_inv
aenys-frey,theon-greyjoy,3,0.3333333333333333
aenys-frey,wyman-manderly,4,0.25
aeron-greyjoy,asha-greyjoy,7,0.14285714285714285
aeron-greyjoy,baelor-blacktyde,4,0.25
aeron-greyjoy,balon-greyjoy,17,0.058823529411764705
aeron-greyjoy,dagmer,5,0.2
aeron-greyjoy,dunstan-drumm,4,0.25
aeron-greyjoy,emmond,4,0.25
aeron-greyjoy,euron-greyjoy,27,0.037037037037037035
aeron-greyjoy,gormond-goodbrother,6,0.16666666666666666
aeron-greyjoy,gorold-goodbrother,10,0.1
aeron-greyjoy,greydon-goodbrother,4,0.25
aeron-greyjoy,meldred-merlyn,7,0.14285714285714285
aeron-greyjoy,murenmure,11,0.09090909090909091
aeron-greyjoy,rus,5,0.2
aeron-greyjoy,theon-greyjoy,20,0.05
aeron-greyjoy,victarion-greyjoy,20,0.05
aerys-i-targaryen,robert-baratheon,3,0.3333333333333333
aerys-ii-targaryen,arthur-dayne,5,0.2
aerys-ii-targaryen,barristan-selmy,4,0.25
aerys-ii-targaryen,brandon-stark,4,0.25
aerys-ii-targaryen,brienne-of-tarth,3,0.3333333333333333
aerys-ii-targaryen,cersei-lannister,3,0.3333333333333333
aerys-ii-targaryen,denys-darklyn,4,0.25
aerys-ii-targaryen,eddard-stark,15,0.06666666666666667
aerys-ii-targaryen,elbert-arryn,3,0.3333333333333333
aerys-ii-targaryen,gerold-hightower,3,0.3333333333333333
aerys-ii-targaryen,jaime-lannister,37,0.02702702702702703
aerys-ii-targaryen,joffrey-baratheon,6,0.16666666666666666
aerys-ii-targaryen,jon-arryn,3,0.3333333333333333
aerys-ii-targaryen,owen-merryweather,3,0.3333333333333333
aerys-ii-targaryen,rhaegar-targaryen,14,0.07142857142857142
aerys-ii-targaryen,robert-baratheon,35,0.02857142857142857
aerys-ii-targaryen,rossart,4,0.25
aerys-ii-targaryen,tyrion-lannister,9,0.1111111111111111
aerys-ii-targaryen,tywin-lannister,26,0.038461538461538464
aerys-ii-targaryen,viserys-targaryen,3,0.3333333333333333
aggar,gariss,3,0.3333333333333333
aggar,gelmarr,3,0.3333333333333333
aggar,gynir,3,0.3333333333333333
aggar,ramsay-snow,4,0.25
aggo,barristan-selmy,3,0.3333333333333333
aggo,belwas,3,0.3333333333333333
aggo,daario-naharis,4,0.25
aggo,daenerys-targaryen,30,0.03333333333333333
aggo,drogo,6,0.16666666666666666
aggo,grey-worm,5,0.2
aggo,jhogo,26,0.038461538461538464
aggo,jorah-mormont,9,0.1111111111111111
aggo,quaro,3,0.3333333333333333
aggo,rakharo,23,0.043478260869565216
alayaya,bronn,3,0.3333333333333333
alayaya,cersei-lannister,3,0.3333333333333333
alayaya,dancy,3,0.3333333333333333
alayaya,tyrion-lannister,7,0.14285714285714285
albett,halder,3,0.3333333333333333
albett,jon-snow,5,0.2
albett,rast,3,0.3333333333333333
alebelly,bran-stark,7,0.14285714285714285
alebelly,hayhead,3,0.3333333333333333
alebelly,jojen-reed,6,0.16666666666666666
alebelly,mikken,3,0.3333333333333333
alerie-hightower,mace-tyrell,3,0.3333333333333333
alerie-hightower,margaery-tyrell,3,0.3333333333333333
alester-florent,axell-florent,4,0.25
alester-florent,cortnay-penrose,4,0.25
alester-florent,davos-seaworth,14,0.07142857142857142
alester-florent,lamprey,3,0.3333333333333333
alester-florent,renly-baratheon,3,0.3333333333333333
alester-florent,selyse-florent,4,0.25
alester-florent,stannis-baratheon,9,0.1111111111111111
alla-tyrell,elinor-tyrell,13,0.07692307692307693
alla-tyrell,margaery-tyrell,7,0.14285714285714285
alla-tyrell,megga-tyrell,16,0.0625
alla-tyrell,osney-kettleblack,3,0.3333333333333333
alla-tyrell,sansa-stark,4,0.25
allar-deem,janos-slynt,3,0.3333333333333333
allar-deem,tyrion-lannister,4,0.25
allard-seaworth,davos-seaworth,5,0.2
allard-seaworth,marya-seaworth,5,0.2
allard-seaworth,stannis-baratheon,3,0.3333333333333333
alleras,armen,5,0.2
alleras,leo-tyrell,7,0.14285714285714285
alleras,marwyn,3,0.3333333333333333
alleras,mollander,7,0.14285714285714285
alleras,pate-(novice),8,0.125
alleras,roone,6,0.16666666666666666
alleras,samwell-tarly,8,0.125
alliser-thorne,bowen-marsh,3,0.3333333333333333
alliser-thorne,grenn,3,0.3333333333333333
alliser-thorne,halder,4,0.25
alliser-thorne,janos-slynt,13,0.07692307692307693
alliser-thorne,jeor-mormont,13,0.07692307692307693
alliser-thorne,joffrey-baratheon,4,0.25
alliser-thorne,jon-snow,63,0.015873015873015872
alliser-thorne,mance-rayder,6,0.16666666666666666
alliser-thorne,pypar,4,0.25
alliser-thorne,qhorin-halfhand,4,0.25
alliser-thorne,rast,5,0.2
alliser-thorne,samwell-tarly,12,0.08333333333333333
alliser-thorne,stannis-baratheon,3,0.3333333333333333
alliser-thorne,tyrion-lannister,15,0.06666666666666667
alyn,eddard-stark,11,0.09090909090909091
alyn,harwin,6,0.16666666666666666
alyn,jory-cassel,8,0.125
alyn,robert-baratheon,4,0.25
alyn,tomard,3,0.3333333333333333
alys-arryn,elys-waynwood,4,0.25
alys-arryn,jon-arryn,3,0.3333333333333333
alys-karstark,jon-snow,13,0.07692307692307693
alys-karstark,melisandre,6,0.16666666666666666
alys-karstark,sigorn,5,0.2
alysane-mormont,asha-greyjoy,18,0.05555555555555555
alysane-mormont,justin-massey,5,0.2
alysane-mormont,stannis-baratheon,5,0.2
amabel,arya-stark,6,0.16666666666666666
amabel,harra,4,0.25
amerei-frey,jaime-lannister,6,0.16666666666666666
amerei-frey,lancel-lannister,10,0.1
amerei-frey,lyle-crakehall,4,0.25
amory-lorch,arya-stark,9,0.1111111111111111
amory-lorch,cersei-lannister,4,0.25
amory-lorch,chiswyck,4,0.25
amory-lorch,dunsen,3,0.3333333333333333
amory-lorch,gendry,3,0.3333333333333333
amory-lorch,gregor-clegane,10,0.1
amory-lorch,hot-pie,3,0.3333333333333333
amory-lorch,ilyn-payne,4,0.25
amory-lorch,jaime-lannister,3,0.3333333333333333
amory-lorch,joffrey-baratheon,7,0.14285714285714285
amory-lorch,meryn-trant,5,0.2
amory-lorch,oberyn-martell,6,0.16666666666666666
amory-lorch,polliver,3,0.3333333333333333
amory-lorch,rafford,5,0.2
amory-lorch,roose-bolton,3,0.3333333333333333
amory-lorch,sandor-clegane,5,0.2
amory-lorch,tickler,5,0.2
amory-lorch,tywin-lannister,8,0.125
amory-lorch,vargo-hoat,10,0.1
amory-lorch,yoren,5,0.2
anders-yronwood,oberyn-martell,3,0.3333333333333333
anders-yronwood,quentyn-martell,4,0.25
andrew-estermont,davos-seaworth,4,0.25
andrew-estermont,edric-storm,4,0.25
andrew-estermont,gerald-gower,3,0.3333333333333333
andrey-dalt,arianne-martell,10,0.1
andrey-dalt,garin-(orphan),11,0.09090909090909091
andrey-dalt,myrcella-baratheon,4,0.25
andrey-dalt,sylva-santagar,8,0.125
andrey-dalt,tyene-sand,4,0.25
anguy,arya-stark,15,0.06666666666666667
anguy,beric-dondarrion,4,0.25
anguy,greenbeard,9,0.1111111111111111
anguy,harwin,7,0.14285714285714285
anguy,husband,3,0.3333333333333333
anguy,lem,22,0.045454545454545456
anguy,sandor-clegane,3,0.3333333333333333
anguy,sharna,6,0.16666666666666666
anguy,tom-of-sevenstreams,12,0.08333333333333333
anya-waynwood,benedar-belmore,4,0.25
anya-waynwood,gilwood-hunter,6,0.16666666666666666
anya-waynwood,harrold-hardyng,6,0.16666666666666666
anya-waynwood,horton-redfort,7,0.14285714285714285
anya-waynwood,petyr-baelish,10,0.1
anya-waynwood,symond-templeton,6,0.16666666666666666
anya-waynwood,yohn-royce,5,0.2
archibald-yronwood,cletus-yronwood,5,0.2
archibald-yronwood,gerris-drinkwater,13,0.07692307692307693
archibald-yronwood,quentyn-martell,21,0.047619047619047616
archibald-yronwood,tattered-prince,4,0.25
ardrian-celtigar,monford-velaryon,5,0.2
areo-hotah,arianne-martell,28,0.03571428571428571
areo-hotah,arys-oakheart,11,0.09090909090909091
areo-hotah,balon-swann,4,0.25
areo-hotah,caleotte,7,0.14285714285714285
areo-hotah,doran-martell,44,0.022727272727272728
areo-hotah,ellaria-sand,3,0.3333333333333333
areo-hotah,myrcella-baratheon,5,0.2
areo-hotah,obara-sand,13,0.07692307692307693
areo-hotah,oberyn-martell,3,0.3333333333333333
arianne-martell,arys-oakheart,19,0.05263157894736842
arianne-martell,balon-swann,5,0.2
arianne-martell,cedra,8,0.125
arianne-martell,doran-martell,26,0.038461538461538464
arianne-martell,ellaria-sand,3,0.3333333333333333
arianne-martell,franklyn-fowler,3,0.3333333333333333
arianne-martell,garin-(orphan),18,0.05555555555555555
arianne-martell,gerold-dayne,11,0.09090909090909091
arianne-martell,mellei,3,0.3333333333333333
arianne-martell,morra,3,0.3333333333333333
arianne-martell,myrcella-baratheon,16,0.0625
arianne-martell,obara-sand,5,0.2
arianne-martell,oberyn-martell,3,0.3333333333333333
arianne-martell,quentyn-martell,8,0.125
arianne-martell,ricasso,3,0.3333333333333333
arianne-martell,sylva-santagar,10,0.1
arianne-martell,timoth,3,0.3333333333333333
arianne-martell,tyene-sand,4,0.25
armen,leo-tyrell,3,0.3333333333333333
armen,marwyn,3,0.3333333333333333
armen,mollander,3,0.3333333333333333
armen,pate-(novice),5,0.2
armen,roone,4,0.25
arnolf-karstark,arthor-karstark,3,0.3333333333333333
arnolf-karstark,asha-greyjoy,3,0.3333333333333333
arnolf-karstark,mors-umber,4,0.25
arnolf-karstark,rickard-karstark,3,0.3333333333333333
arnolf-karstark,stannis-baratheon,7,0.14285714285714285
aron-santagar,sandor-clegane,3,0.3333333333333333
arron,emrick,6,0.16666666666666666
arron,hareth-(moles-town),4,0.25
arron,satin,4,0.25
arson,jon-snow,3,0.3333333333333333
arstan,belwas,25,0.04
arstan,daenerys-targaryen,29,0.034482758620689655
arstan,illyrio-mopatis,3,0.3333333333333333
arstan,jhiqui,3,0.3333333333333333
arstan,jorah-mormont,13,0.07692307692307693
arstan,kraznys-mo-nakloz,3,0.3333333333333333
arstan,mero,7,0.14285714285714285
arstan,rhaegar-targaryen,7,0.14285714285714285
arthur-dayne,gerold-hightower,9,0.1111111111111111
arthur-dayne,lewyn-martell,3,0.3333333333333333
arthur-dayne,rhaegar-targaryen,3,0.3333333333333333
arthur-dayne,smiling-knight,4,0.25
arwyn-oakheart,randyll-tarly,3,0.3333333333333333
arya-stark,bellegere-otherys,3,0.3333333333333333
arya-stark,benjen-stark,3,0.3333333333333333
arya-stark,beric-dondarrion,28,0.03571428571428571
arya-stark,biter,10,0.1
arya-stark,bran-stark,40,0.025
arya-stark,brea,5,0.2
arya-stark,brusco,10,0.1
arya-stark,brynden-tully,4,0.25
arya-stark,catelyn-stark,8,0.125
arya-stark,cersei-lannister,25,0.04
arya-stark,chiswyck,8,0.125
arya-stark,dareon,5,0.2
arya-stark,denyo-terys,8,0.125
arya-stark,desmond,3,0.3333333333333333
arya-stark,dobber,4,0.25
arya-stark,dunsen,6,0.16666666666666666
arya-stark,eddard-stark,46,0.021739130434782608
arya-stark,elmar-frey,4,0.25
arya-stark,gendry,82,0.012195121951219513
arya-stark,greenbeard,9,0.1111111111111111
arya-stark,gregor-clegane,10,0.1
arya-stark,harra,3,0.3333333333333333
arya-stark,harren-hoare,7,0.14285714285714285
arya-stark,harwin,17,0.058823529411764705
arya-stark,hot-pie,76,0.013157894736842105
arya-stark,ilyn-payne,8,0.125
arya-stark,jaime-lannister,13,0.07692307692307693
arya-stark,jaqen-hghar,25,0.04
arya-stark,jeyne-poole,14,0.07142857142857142
arya-stark,joffrey-baratheon,53,0.018867924528301886
arya-stark,jon-snow,71,0.014084507042253521
arya-stark,jory-cassel,12,0.08333333333333333
arya-stark,kindly-man,17,0.058823529411764705
arya-stark,koss,3,0.3333333333333333
arya-stark,lem,24,0.041666666666666664
arya-stark,lommy-greenhands,31,0.03225806451612903
arya-stark,mad-huntsman,4,0.25
arya-stark,mance-rayder,3,0.3333333333333333
arya-stark,melisandre,4,0.25
arya-stark,meralyn,9,0.1111111111111111
arya-stark,meryn-trant,7,0.14285714285714285
arya-stark,mordane,39,0.02564102564102564
arya-stark,mycah,24,0.041666666666666664
arya-stark,myrcella-baratheon,13,0.07692307692307693
arya-stark,nan,17,0.058823529411764705
arya-stark,pate-(old),4,0.25
arya-stark,petyr-baelish,3,0.3333333333333333
arya-stark,polliver,14,0.07142857142857142
arya-stark,praed,3,0.3333333333333333
arya-stark,rafford,10,0.1
arya-stark,ramsay-snow,5,0.2
arya-stark,ravella-swann,7,0.14285714285714285
arya-stark,rickon-stark,20,0.05
arya-stark,robb-stark,44,0.022727272727272728
arya-stark,robert-baratheon,17,0.058823529411764705
arya-stark,rodrik-cassel,3,0.3333333333333333
arya-stark,roose-bolton,21,0.047619047619047616
arya-stark,rorge,13,0.07692307692307693
arya-stark,sandor-clegane,58,0.017241379310344827
arya-stark,sansa-stark,155,0.0064516129032258064
arya-stark,syrio-forel,29,0.034482758620689655
arya-stark,talea,4,0.25
arya-stark,ternesio-terys,5,0.2
arya-stark,theon-greyjoy,7,0.14285714285714285
arya-stark,thoros-of-myr,21,0.047619047619047616
arya-stark,tickler,5,0.2
arya-stark,tom-of-sevenstreams,24,0.041666666666666664
arya-stark,tomard,6,0.16666666666666666
arya-stark,tommen-baratheon,5,0.2
arya-stark,tyrion-lannister,11,0.09090909090909091
arya-stark,tywin-lannister,13,0.07692307692307693
arya-stark,umma,6,0.16666666666666666
arya-stark,vargo-hoat,6,0.16666666666666666
arya-stark,vayon-poole,4,0.25
arya-stark,waif,20,0.05
arya-stark,weasel,10,0.1
arya-stark,weese,15,0.06666666666666667
arya-stark,woth,3,0.3333333333333333
arya-stark,yoren,32,0.03125
arya-stark,yorko-terys,6,0.16666666666666666
arys-oakheart,cersei-lannister,3,0.3333333333333333
arys-oakheart,doran-martell,3,0.3333333333333333
arys-oakheart,garin-(orphan),3,0.3333333333333333
arys-oakheart,gerold-dayne,6,0.16666666666666666
arys-oakheart,joffrey-baratheon,6,0.16666666666666666
arys-oakheart,myrcella-baratheon,22,0.045454545454545456
arys-oakheart,sansa-stark,3,0.3333333333333333
asha-greyjoy,balon-greyjoy,15,0.06666666666666667
asha-greyjoy,clayton-suggs,4,0.25
asha-greyjoy,dagmer,5,0.2
asha-greyjoy,euron-greyjoy,23,0.043478260869565216
asha-greyjoy,galbart-glover,8,0.125
asha-greyjoy,godry-farring,3,0.3333333333333333
asha-greyjoy,grimtongue,3,0.3333333333333333
asha-greyjoy,hagen,3,0.3333333333333333
asha-greyjoy,justin-massey,15,0.06666666666666667
asha-greyjoy,qarl-the-maid,8,0.125
asha-greyjoy,red-oarsman,3,0.3333333333333333
asha-greyjoy,robert-baratheon,4,0.25
asha-greyjoy,rodrik-harlaw,7,0.14285714285714285
asha-greyjoy,rolfe-the-dwarf,3,0.3333333333333333
asha-greyjoy,stannis-baratheon,16,0.0625
asha-greyjoy,sybelle-glover,3,0.3333333333333333
asha-greyjoy,theon-greyjoy,48,0.020833333333333332
asha-greyjoy,torgon-greyiron,3,0.3333333333333333
asha-greyjoy,tristifer-botley,16,0.0625
asha-greyjoy,tycho-nestoris,3,0.3333333333333333
asha-greyjoy,victarion-greyjoy,10,0.1
asha-greyjoy,wex-pyke,3,0.3333333333333333
ashara-dayne,elia-martell,3,0.3333333333333333
aurane-waters,cersei-lannister,9,0.1111111111111111
aurane-waters,gyles-rosby,3,0.3333333333333333
aurane-waters,harys-swyft,5,0.2
aurane-waters,loras-tyrell,3,0.3333333333333333
aurane-waters,margaery-tyrell,5,0.2
aurane-waters,orton-merryweather,3,0.3333333333333333
aurane-waters,paxter-redwyne,3,0.3333333333333333
aurane-waters,stannis-baratheon,3,0.3333333333333333
aurane-waters,tommen-baratheon,3,0.3333333333333333
axell-florent,davos-seaworth,21,0.047619047619047616
axell-florent,jon-snow,4,0.25
axell-florent,lamprey,5,0.2
axell-florent,melisandre,9,0.1111111111111111
axell-florent,porridge,5,0.2
axell-florent,salladhor-saan,3,0.3333333333333333
axell-florent,selyse-florent,19,0.05263157894736842
axell-florent,shireen-baratheon,3,0.3333333333333333
axell-florent,stannis-baratheon,25,0.04
azor-ahai,stannis-baratheon,6,0.16666666666666666
bael-the-bard,ygritte,5,0.2
baelor-blacktyde,balon-greyjoy,3,0.3333333333333333
baelor-blacktyde,euron-greyjoy,4,0.25
baelor-blacktyde,victarion-greyjoy,4,0.25
baelor-i-targaryen,cersei-lannister,8,0.125
baelor-i-targaryen,sansa-stark,3,0.3333333333333333
baelor-i-targaryen,tyrion-lannister,3,0.3333333333333333
ballabar,frenken,4,0.25
ballabar,podrick-payne,3,0.3333333333333333
ballabar,tyrion-lannister,16,0.0625
balman-byrch,bronn,7,0.14285714285714285
balman-byrch,cersei-lannister,7,0.14285714285714285
balman-byrch,falyse-stokeworth,10,0.1
balon-greyjoy,catelyn-stark,3,0.3333333333333333
balon-greyjoy,dagmer,3,0.3333333333333333
balon-greyjoy,eddard-stark,7,0.14285714285714285
balon-greyjoy,euron-greyjoy,23,0.043478260869565216
balon-greyjoy,robb-stark,11,0.09090909090909091
balon-greyjoy,robert-baratheon,8,0.125
balon-greyjoy,stannis-baratheon,8,0.125
balon-greyjoy,theon-greyjoy,30,0.03333333333333333
balon-greyjoy,tywin-lannister,4,0.25
balon-greyjoy,victarion-greyjoy,17,0.058823529411764705
balon-swann,boros-blount,3,0.3333333333333333
balon-swann,doran-martell,11,0.09090909090909091
balon-swann,gerold-dayne,3,0.3333333333333333
balon-swann,gregor-clegane,3,0.3333333333333333
balon-swann,jaime-lannister,8,0.125
balon-swann,joffrey-baratheon,11,0.09090909090909091
balon-swann,loras-tyrell,10,0.1
balon-swann,mandon-moore,3,0.3333333333333333
balon-swann,meryn-trant,3,0.3333333333333333
balon-swann,myrcella-baratheon,4,0.25
balon-swann,osmund-kettleblack,7,0.14285714285714285
balon-swann,renly-baratheon,3,0.3333333333333333
balon-swann,sandor-clegane,3,0.3333333333333333
balon-swann,tyrion-lannister,15,0.06666666666666667
bannen,dywen,5,0.2
bannen,samwell-tarly,11,0.09090909090909091
barbrey-dustin,jeyne-poole,5,0.2
barbrey-dustin,ramsay-snow,5,0.2
barbrey-dustin,roger-ryswell,4,0.25
barbrey-dustin,roose-bolton,3,0.3333333333333333
barbrey-dustin,stannis-baratheon,3,0.3333333333333333
barbrey-dustin,theon-greyjoy,17,0.058823529411764705
barristan-selmy,belwas,14,0.07142857142857142
barristan-selmy,ben-plumm,4,0.25
barristan-selmy,bloodbeard,3,0.3333333333333333
barristan-selmy,boros-blount,3,0.3333333333333333
barristan-selmy,cersei-lannister,17,0.058823529411764705
barristan-selmy,daario-naharis,18,0.05555555555555555
barristan-selmy,daenerys-targaryen,83,0.012048192771084338
barristan-selmy,eddard-stark,28,0.03571428571428571
barristan-selmy,galazza-galare,5,0.2
barristan-selmy,gerold-hightower,5,0.2
barristan-selmy,gerris-drinkwater,4,0.25
barristan-selmy,grazhar,3,0.3333333333333333
barristan-selmy,grey-worm,6,0.16666666666666666
barristan-selmy,groleo,8,0.125
barristan-selmy,hizdahr-zo-loraq,42,0.023809523809523808
barristan-selmy,jaime-lannister,8,0.125
barristan-selmy,jhogo,3,0.3333333333333333
barristan-selmy,joffrey-baratheon,13,0.07692307692307693
barristan-selmy,jon-arryn,4,0.25
barristan-selmy,jorah-mormont,5,0.2
barristan-selmy,khrazz,8,0.125
barristan-selmy,larraq,3,0.3333333333333333
barristan-selmy,meryn-trant,3,0.3333333333333333
barristan-selmy,missandei,8,0.125
barristan-selmy,petyr-baelish,7,0.14285714285714285
barristan-selmy,pycelle,8,0.125
barristan-selmy,quentyn-martell,22,0.045454545454545456
barristan-selmy,renly-baratheon,13,0.07692307692307693
barristan-selmy,reznak-mo-reznak,7,0.14285714285714285
barristan-selmy,rhaegar-targaryen,3,0.3333333333333333
barristan-selmy,robert-baratheon,51,0.0196078431372549
barristan-selmy,sandor-clegane,3,0.3333333333333333
barristan-selmy,sansa-stark,3,0.3333333333333333
barristan-selmy,skahaz-mo-kandaq,21,0.047619047619047616
barristan-selmy,steelskin,3,0.3333333333333333
barristan-selmy,tyrion-lannister,3,0.3333333333333333
barristan-selmy,varys,15,0.06666666666666667
barristan-selmy,widower,3,0.3333333333333333
barristan-selmy,xaro-xhoan-daxos,3,0.3333333333333333
barsena,daenerys-targaryen,4,0.25
bartimus,davos-seaworth,4,0.25
bedwyck,craster,4,0.25
bedwyck,dywen,3,0.3333333333333333
bedwyck,eddison-tollett,4,0.25
bedwyck,grenn,4,0.25
bedwyck,samwell-tarly,3,0.3333333333333333
belaquo,goghor-the-giant,7,0.14285714285714285
belaquo,hizdahr-zo-loraq,3,0.3333333333333333
belaquo,irri,3,0.3333333333333333
belaquo,spotted-cat,5,0.2
belwas,ben-plumm,4,0.25
belwas,daenerys-targaryen,46,0.021739130434782608
belwas,hizdahr-zo-loraq,11,0.09090909090909091
belwas,illyrio-mopatis,8,0.125
belwas,jhiqui,3,0.3333333333333333
belwas,jhogo,3,0.3333333333333333
belwas,jorah-mormont,22,0.045454545454545456
belwas,oznak-zo-pahl,8,0.125
belwas,quentyn-martell,3,0.3333333333333333
belwas,skahaz-mo-kandaq,3,0.3333333333333333
ben-bones,ramsay-snow,5,0.2
ben-bones,theon-greyjoy,4,0.25
ben-plumm,daario-naharis,13,0.07692307692307693
ben-plumm,daenerys-targaryen,24,0.041666666666666664
ben-plumm,hizdahr-zo-loraq,3,0.3333333333333333
ben-plumm,kasporio,3,0.3333333333333333
ben-plumm,penny,3,0.3333333333333333
ben-plumm,tybero-istarion,5,0.2
ben-plumm,tyrion-lannister,4,0.25
benedar-belmore,gilwood-hunter,3,0.3333333333333333
benedar-belmore,horton-redfort,5,0.2
benedar-belmore,petyr-baelish,5,0.2
benedar-belmore,symond-templeton,4,0.25
benerro,daenerys-targaryen,3,0.3333333333333333
benerro,haldon,4,0.25
benerro,moqorro,4,0.25
benerro,tyrion-lannister,7,0.14285714285714285
benethon-scales,narbert-grandison,3,0.3333333333333333
benethon-scales,selyse-florent,4,0.25
benfred-tallhart,helman-tallhart,3,0.3333333333333333
benfred-tallhart,leobald-tallhart,3,0.3333333333333333
benfred-tallhart,stygg,3,0.3333333333333333
benfred-tallhart,theon-greyjoy,7,0.14285714285714285
benjen-stark,bran-stark,9,0.1111111111111111
benjen-stark,cersei-lannister,3,0.3333333333333333
benjen-stark,jaremy-rykker,3,0.3333333333333333
benjen-stark,jeor-mormont,17,0.058823529411764705
benjen-stark,jon-snow,48,0.020833333333333332
benjen-stark,luwin,7,0.14285714285714285
benjen-stark,mance-rayder,3,0.3333333333333333
benjen-stark,robb-stark,7,0.14285714285714285
benjen-stark,robert-baratheon,6,0.16666666666666666
benjen-stark,theon-greyjoy,4,0.25
benjen-stark,tyrion-lannister,8,0.125
benjen-stark,waymar-royce,3,0.3333333333333333
benjen-stark,yoren,4,0.25
beric-dondarrion,catelyn-stark,3,0.3333333333333333
beric-dondarrion,eddard-stark,3,0.3333333333333333
beric-dondarrion,gendry,4,0.25
beric-dondarrion,gregor-clegane,9,0.1111111111111111
beric-dondarrion,harwin,7,0.14285714285714285
beric-dondarrion,jack-bulwer,4,0.25
beric-dondarrion,jaime-lannister,7,0.14285714285714285
